#,Nombre,Alergias,Complejidad_receta,Costo_receta,Tiempo_de_comida,Calorias,Ingredientes,Pasos
11,Huevos revueltos con esparragos verdes y tiras de jamon,Frutos Secos,Media,35,Desayuno,1100,4 huevos/1 manojo de esparragos tiernos/1 diente de ajo/40 g de jamon de pato o de jamon Iberico (opcional o sustituible por fiambre de pavo o jamon york)/2 cucharadas de aceite de oliva/Flores/Sal/Pimienta,"Paso 1. Limpia los esparragos eliminando la parte mas dura del tallo. Trocea los mas grandes./Paso 2. Pela el ajo y picalo./Paso 3. Calienta el aceite en una sarten y saltea el ajo y los esparragos de 2 a 4 minutos dependiendo del grosor./Paso 4. Casca los huevos en un cuenco, salalos y batelos./Paso 5. A�adelos a la sarten con los esparragos y, a fuego lento, remueve un minuto hasta que cuajen. Sirve el revuelto en platos y decora con tiras de jamon."
12,Ensalda de Garbanzos con atun,Carnes,Media,55,Desayuno,1150,300 gramos de garbanzos cocidos/12 tomates Cherry/Media cebolla/1 mazorca de maiz cocida/1 bolsa de can�nigos/1 lata de atun en aceite de oliva/Oregano/4 cucharadas de aceite de oliva/Pimienta/2 cucharadas de vinagre de Jerez/Mostaza/Sal,"Paso 1. Limpia la cebolleta y picala./Paso 2. Lava los tomates y cortalos en gajos./Paso 3. Tuesta la mazorca entera en la plancha, dandole la vuelta a medida que se dore. Extrae los granos con la ayuda de un cuchillo./Paso 4. Enjuaga los garbanzos y mezclalos con el maiz, los tomates, la cebolla, los canonigos lavados y el atun escurrido./Paso 5. Tapa esta mezcla y dejala reposar en el frigorifico unos 30 minutos./Paso 6. Mientras, prepara una vinagreta: bate 1 cucharadita de mostaza con el vinagre, sal y pimienta. A�ade el aceite y una pizca de oregano y vuelve a batir hasta que obtengas una salsa emulsionada./Paso 7. Sirve la ensalada de garbanzos ali�ada con la vinagreta."
13,Pollo salteado con verduras y almendras,Mariscos,Media,75,Almuerzo,1250,400 gramos de pechuga de pollo/100 gramos de zanahoria/150 gramos de esparragos verdes/El zumo de medio limon/150 gramos de jud�as verdes/1 calabacin/Salsa de soja/1 cebolla morada/40 gramos de almendras/Una ramita de tomillo/2 cucharadas de aceite de oliva virgen/100 gramos de ajos tiernos,"Paso 1. Limpia los esparragos y retira la base de su tallo./Paso 2. Pela las zanahorias, lavalas y parte en tiras./Paso 3. Despunta las judias y limpia los ajos. Trocea las verduras./Paso 4. Lava el calabacin y cortalo en rodajas./Paso 5. Pela la cebolla y partela en plumas./Paso 6. Cuece las zanahorias en agua salada 5 min, las judias 7 min y los esparragos 3 min./Paso 7. Saltea el pollo cortado en tiras en el aceite, 3 min./Paso 8. A�ade los ajos, la cebolla, las almendras y el calabacin y prosigue la coccion 2 min./Paso 9. Incorpora las zanahorias, las judias y los esparragos y cuecelos 2 min./Paso 10. Vierte el zumo de limon, 1 cucharada de salsa de soja y el tomillo lavado, saltea unos 2 min mas y sirvelo."
14,Crema de Guisantes,Carnes,Media,60,Cena,950,600 gramos de guisantes/2 patatas/2 puerros/30 gramos de mantequilla/100 gramos de gorgonzola/2 rebanadas de pan de hogaza/2 cucharadas de pi�ones/2 cucharadas de aceite de oliva/Perejil/Sal y pimienta,"Paso 1. Pela las patatas y cortalas a rodajas./Paso 2. Limpia los puerros y cortalos en discos./Paso 3. Corta el pan a daditos y tuestalo en el horno, 10 min a 180 �C (opcional)./Paso 4. Tuesta los pi�ones en una sarten, a fuego suave./Paso 5. Calienta la mantequilla en una olla y a�ade el puerro. Pochalo a fuego suave durante 10 min. Luego, a�ade la patata y los guisantes, cubrelos con 1 litro de agua, tapalos y cuecelos 20 min./Paso 6. Salpimenta y tritura./Paso 7. Sirve la crema bien caliente, acompa�ada del pan, los pi�ones, el gorgonzola a dados y un chorrito de aceite de oliva./El truco: puedes optar por usar guisantes en conserva, solo salteandolos pero sin tener que hervirlos en agua. Acompa�a la crema solo con un chorro de aceite y, si tienes en casa, unas semillas de chia."
15,Calamar con verduras,Carnes,Dificil,85,Cena,1050,4 calamares medianos/2 zanahorias/1 calabacin/1 cebolleta/Medio pimiento verde/1 diente de ajo/1 ramita de perejil/3 cucharadas de salsa de soja/4 cucharadas de aceite de oliva/Pimienta/Sal,"Paso 1. Limpia la verdura y pela las zanahorias. Cortalas en tiras finas con una mandolina. Pela el ajo y picalo./Paso 2. Saltea la verdura en 2 cucharadas de aceite, durante 1 min, sin dejar de remover con una cuchara de madera. Agrega el ajo y la salsa de soja, saltea todo junto unos segundos mas, retira y reservala./Paso 3. Limpia los calamares, lavalos y salpimentalos. Dora los calamares en el aceite restante durante 2 o 3 min por cada lado, hasta que se hagan por dentro./Paso 4. Reparte la verdura en 4 platos, a�ade los calamares y sirvelos, en seguida, espolvoreados con el perejil lavado y picado."
16,Rape con salsa de almendras,Mariscos,Media,75,Almuerzo,1175,4 lomos de rape/5 tomates/1 cabeza de ajo/2 rebanadas de pan tostado/Sal y pimienta/100 g de almendras tostadas/Perejil/Aceite de oliva virgen/2 cucharadas de vinagre de vino tinto,"Paso 1. Lava los tomates y ponlos en una bandeja de horno con la cabeza de ajo. Hornealos a 200 �C durante 30 min. Ret�ralos y dejalos templar./Paso 2. Lava el rape y secalo./Paso 3. Pela las almendras y reserva algunas./Paso 4. Lava el perejil, escurrelo y picalo fino./Paso 5. Trocea el pan y mezclalo con el vinagre./Paso 6. Luego, pela los tomates y los ajos. Tritura estos con la mezcla de pan, el resto de las almendras, 5 cucharadas de aceite, sal y pimienta./Paso 7. Dora el rape, por todos lados, en 1 cucharada de aceite, 10 min./Paso 8. Reparte en 4 platos la salsa de almendras, a�ade el pescado y sirvelo condimentado con sal, pimienta, perejil y las almendras reservadas picadas."
17,Sirope de agave,Frutos Secos,Dificil,45,Desayuno,1150,250 gramos de queso fresco/4 kiwis/4 laminas de pasta filo/4 cucharadas de sirope de agave/60 gramos de mantequilla o de aceite de girasol,"Paso 1. Precalienta el horno a 180 �C./Paso 2. Derrite a fuego lento la mantequilla y pincela la pasta filo con la mantequilla derretida. Si lo prefieres, reduce calorias y grasas saturadas usando la misma cantidad de aceite de girasol./Paso 3. Dobla cada lamina de pasta filo sobre si misma formando una tira larga y estrecha, de unos cinco centimetros de ancho./Paso 4. Corta cada tira de pasta filo en tres porciones iguales para obtener tres rectangulos identicos./Paso 5. Prepara una bandeja de horno con papel sulfurizado./Paso 6. Coloca la pasta filo encima y horneala unos 12 minutos, hasta que empiece a dorarse. Retira del horno y deja que se enfrie./Paso 7. Corta el queso fresco a dados peque�os de aproximadamente 2 cm./Paso 8. Pela los kiwis y cortalos a rodajas de aproximadamente medio cent�metro de grosor./Paso 9. Monta el milhojas. Empieza rellenando la capa de la base de pasta filo con el queso fresco y el kiwi. Despues rocia la mezcla con una pizca de sirope de agave. Si no lo encuentras tambi�n puedes usar miel de buena calidad o melaza de arroz o de cualquier otro cereal integral sin azucar a�adido./Paso 10. Repite la operacion con cada capa de pasta filo./Paso 11. Para servir el milhojas, presentalo en un plato liso, decora con unos hilos de agave por encima y sirve inmediatamente."
18,Milhojas de frutas,Carnes,Media,55,Desayuno,1350,8 ciruelas amarillas/3 yogures desnatados/4 cucharadas de miel/40 g de nueces peladas/Una ramita de romero/200 g de sandia/200 g de melon/2 ciruelas rojas/2 kiwis/4 hojas de gelatina/2 ramitas de menta,"Paso 1. Remoja la gelatina en agua fria, 10 min. Lleva a ebullicion 300 ml de agua. Retira, a�ade 1 ramita de menta lavada, tapa y deja infusionar 5 min./Paso 2. Filtra, a�ade la gelatina escurrida y remueve hasta que se disuelva. Deja en la nevera 2 h, hasta que cuaje; remuevela un poco./Paso 3. Corta la fruta. Haz 4 rodajas grandes de sandia con un cortapastas y 4 mas peque�as de melon. Lava las ciruelas y quitales el hueso. Pela el kiwi. Corta ambos a rodajas finas./Paso 4. Monta el postre alternando la fruta con la gelatina de menta y sirvelo decorado con unas hojas de menta lavada."
19,Ensalada de quinoa y verduras,Mariscos,Media,65,Cena,1250,1 taza de quinoa/1 pepino/1 tomate/1 pimiento rojo/1 aguacate/1 limon/2 cucharadas de aceite de oliva/sal y pimienta al gusto,"Paso 1. Cocina la quinoa segun las instrucciones del paquete./Paso 2. Corta el pepino, el tomate y el pimiento en cubos./Paso 3. Mezcla los vegetales con la quinoa cocida./Paso 4. Agrega el aguacate y exprime el limon sobre la mezcla./Paso 5. Agrega el aceite de oliva y sazona con sal y pimienta al gusto."
20,Wrap de pollo y verduras,Frutos Secos,Facil,65,Almuerzo,1350,1 pechuga de pollo cocida y desmenuzada/1 taza de lechuga/1 zanahoria rallada/1 aguacate en rodajas/1 tomate en rodajas/2 cucharadas de yogur griego/1 cucharada de mostaza/1 cucharada de miel/2 tortillas de trigo,"Paso 1. En un tazon peque�o, mezcla el yogur griego, la mostaza y la miel/Paso 2. Coloca una tortilla de trigo en un plato/Paso 3. Agrega la lechuga, la zanahoria, el pollo desmenuzado, las rodajas de aguacate y tomate/Paso 4. Rocia la mezcla de yogur por encima/Paso 5. Enrolla la tortilla y sirve."
21,Tostadas de aguacate y huevo,Mariscos,Facil,65,Desayuno,1355,2 rebanadas de pan integral/1 aguacate/2 huevos/1 limon/Aceite de oliva/Sal y pimienta al gusto,Paso 1. Tuesta el pan integral/Paso 2. Pela y machaca el aguacate/Paso 3. Agrega un poco de limon y sazona con sal y pimienta/Paso 4. Frie los huevos en un poco de aceite de oliva/Paso 5. Sirve el aguacate machacado en las tostadas y coloca un huevo frito sobre cada una.
22,Batido de avena y platano,Carnes,Media,45,Desayuno,1250,1 platano maduro/1 taza de leche de almendras/1/2 taza de avena/1 cucharada de miel/1 cucharadita de esencia de vainilla,"Paso 1. Agrega el platano, la leche de almendras, la avena, la miel y la esencia de vainilla a una licuadora/Paso 2. Mezcla todo hasta que este suave/Paso 3. Sirve en un vaso y disfruta."
23,Huevos revueltos con espinacas,Frutos Secos,Dificil,45,Desayuno,1150,2 huevos/1 taza de espinacas frescas picadas/1 cucharada de aceite de oliva/Sal y pimienta al gusto,Paso 1. Calienta el aceite de oliva en una sarten./Paso 2. Agrega las espinacas y saltea hasta que esten tiernas./Paso 3. Bate los huevos en un tazon y agrega a la sarten./Paso 4. Cocina los huevos revueltos hasta que esten firmes./Paso 5. Sazona con sal y pimienta al gusto y sirve.
24,Yogur con frutas y granola,Carnes,Facil,43,Desayuno,1151,"1 taza de yogur griego/1 taza de frutas picadas (fresas, platano, manzana)/Media taza de granola",Paso 1. Coloca el yogur en un tazon./Paso 2. Agrega las frutas picadas encima./Paso 3. Agrega la granola encima de las frutas y sirve.
25,Tostadas francesas,Carnes,Media,35,Desayuno,1375,2 rebanadas de pan integral/1 huevo/Un cuarto de taza de leche/1 cucharadita de extracto de vainilla/1 cucharadita de canela en polvo/aceite de coco para freir,"Paso 1. Bate el huevo, la leche, el extracto de vainilla y la canela en un tazon./Paso 2. Calienta el aceite de coco en una sarten./Paso 3. Sumerge las rebanadas de pan en la mezcla de huevo y leche, asegurandote de que se cubran bien./Paso 4. Frie las tostadas frances."
26,Tostadas de queso y tomate,Mariscos,Media,65,Desayuno,750,2 rebanadas de pan integral/2 rodajas de tomate/Media taza de queso rallado/aceite de oliva/sal y pimienta al gusto,Paso 1. Tuesta el pan integral./Paso 2. Agrega el queso rallado encima de cada rebanada./Paso 3. Coloca una rodaja de tomate encima de cada tostada./Paso 4. Rocia un poco de aceite de oliva y sazona con sal y pimienta./Paso 5. Calienta las tostadas en el horno hasta que el queso se derrita.
27,Smoothie verde,Frutos Secos,Facil,75,Desayuno,850,1 taza de espinacas frescas/1 platano maduro/1 taza de leche de almendras/1 cucharada de miel,"Paso 1. Agrega las espinacas, el platano, la leche de almendras y la miel a una licuadora./Paso 2. Mezcla todo hasta que est� suave./Paso 3. Sirve en un vaso y disfruta."
28,Huevos en nube,Mariscos,Dificil,65,Desayuno,965,2 huevos/Un cuarto de taza de queso rallado/Un cuarto de taza de espinacas frescas picadas/Sal y pimienta al gusto, Paso 1. Precalienta el horno a 190�C./Paso 2. Separa las claras de las yemas de los huevos./Paso 3. Bate las claras a punto de nieve./Paso 4. Agrega las espinacas y el queso rallado a las claras y mezcla suavemente./Paso 5. Haz dos monticulos de la mezcla en una bandeja para hornear./Paso 6. Haz un peque�o hueco en el centro de cada monticulo./Paso 7. Agrega las yemas a los huecos./Paso 8. Sazona con sal y pimienta./Paso 9. Hornea durante 10-12 minutos hasta que las claras esten doradas.
29,Panqueques de avena,Carnes,Dificil,55,Desayuno,954,1 taza de avena/2 huevos/1 platano maduro/1 cucharada de miel/1 cucharadita de canela en polvo/Aceite de coco para freir,"Paso 1. Agrega la avena, los huevos, el platano, la miel y la canela a una licuadora./Paso 2. Mezcla todo hasta que este suave./Paso 3. Calienta el aceite de coco en una sarten./Paso 4. Vierte la mezcla en la sarten para hacer los panqueques./Paso 5. Cocina hasta que esten dorados por ambos lados."
